Date,Close
27-03-2017,9173.75
03-04-2017,9198.299805
10-04-2017,9150.799805
17-04-2017,9119.400391
24-04-2017,9304.049805
01-05-2017,9285.299805
08-05-2017,9400.900391
15-05-2017,9427.900391
22-05-2017,9595.099609
29-05-2017,9653.5
05-06-2017,9668.25
12-06-2017,9588.049805
19-06-2017,9574.950195
26-06-2017,9520.900391
03-07-2017,9665.799805
10-07-2017,9886.349609
17-07-2017,9915.25
24-07-2017,10014.5
31-07-2017,10066.40039
07-08-2017,9710.799805
14-08-2017,9837.400391
21-08-2017,9857.049805
28-08-2017,9974.400391
04-09-2017,9934.799805
11-09-2017,10085.40039
18-09-2017,9964.400391
25-09-2017,9788.599609
02-10-2017,9979.700195
09-10-2017,10167.4502
16-10-2017,10146.54981
23-10-2017,10323.04981
30-10-2017,10452.5
06-11-2017,10321.75
13-11-2017,10283.59961
20-11-2017,10389.7002
27-11-2017,10121.79981
04-12-2017,10265.65039
11-12-2017,10333.25
18-12-2017,10493
25-12-2017,10530.7002
01-01-2018,10558.84961
08-01-2018,10681.25
15-01-2018,10894.7002
22-01-2018,11069.65039
29-01-2018,10760.59961
05-02-2018,10454.9502
12-02-2018,10452.29981
19-02-2018,10491.04981
26-02-2018,10458.34961
05-03-2018,10226.84961
12-03-2018,10195.15039
19-03-2018,9998.049805
26-03-2018,10113.7002
02-04-2018,10331.59961
09-04-2018,10480.59961
16-04-2018,10564.04981
23-04-2018,10692.29981
30-04-2018,10618.25
07-05-2018,10806.5
14-05-2018,10596.40039
21-05-2018,10605.15039
28-05-2018,10696.2002
04-06-2018,10767.65039
11-06-2018,10817.7002
18-06-2018,10821.84961
25-06-2018,10714.29981
02-07-2018,10772.65039
09-07-2018,11018.90039
16-07-2018,11010.2002
23-07-2018,11278.34961
30-07-2018,11360.79981
06-08-2018,11429.5
13-08-2018,11470.75
20-08-2018,11557.09961
27-08-2018,11680.5
03-09-2018,11589.09961
10-09-2018,11515.2002
17-09-2018,11143.09961
24-09-2018,10930.4502
01-10-2018,10316.4502
08-10-2018,10472.5
15-10-2018,10303.54981
22-10-2018,10030
29-10-2018,10553
05-11-2018,10585.2002
12-11-2018,10682.2002
19-11-2018,10526.75
26-11-2018,10876.75
03-12-2018,10693.7002
10-12-2018,10805.4502
17-12-2018,10754
24-12-2018,10859.90039
31-12-2018,10727.34961
07-01-2019,10794.9502
14-01-2019,10906.9502
21-01-2019,10780.54981
28-01-2019,10893.65039
04-02-2019,10943.59961
11-02-2019,10724.40039
18-02-2019,10791.65039
25-02-2019,10863.5
04-03-2019,11035.40039
11-03-2019,11426.84961
18-03-2019,11456.90039
25-03-2019,11623.90039
01-04-2019,11665.9502
08-04-2019,11643.4502
15-04-2019,11752.79981
22-04-2019,11754.65039
29-04-2019,11712.25
06-05-2019,11278.90039
13-05-2019,11407.15039
20-05-2019,11844.09961
27-05-2019,11922.79981
03-06-2019,11870.65039
10-06-2019,11823.29981
17-06-2019,11724.09961
24-06-2019,11788.84961
01-07-2019,11811.15039
08-07-2019,11552.5
15-07-2019,11419.25
22-07-2019,11284.29981
29-07-2019,10997.34961
05-08-2019,11109.65039
12-08-2019,11047.79981
19-08-2019,10829.34961
26-08-2019,11023.25
02-09-2019,10946.2002
09-09-2019,11075.90039
16-09-2019,11274.2002
23-09-2019,11512.40039
30-09-2019,11174.75
07-10-2019,11305.04981
14-10-2019,11661.84961
21-10-2019,11583.90039
28-10-2019,11890.59961
04-11-2019,11908.15039
11-11-2019,11895.4502
18-11-2019,11914.40039
25-11-2019,12056.04981
02-12-2019,11921.5
09-12-2019,12086.7002
16-12-2019,12271.79981
23-12-2019,12245.79981
30-12-2019,12226.65039
06-01-2020,12256.79981
13-01-2020,12352.34961
20-01-2020,12248.25
27-01-2020,11962.09961
03-02-2020,12098.34961
10-02-2020,12113.4502
17-02-2020,12080.84961
24-02-2020,11201.75
02-03-2020,10989.4502
09-03-2020,9955.200195
16-03-2020,8745.450195
23-03-2020,8660.25
30-03-2020,8083.799805
06-04-2020,9111.900391
13-04-2020,9266.75
20-04-2020,9154.400391
27-04-2020,9859.900391
04-05-2020,9251.5
11-05-2020,9136.849609
18-05-2020,9039.25
25-05-2020,9580.299805
01-06-2020,10142.15039
08-06-2020,9972.900391
15-06-2020,10244.40039
22-06-2020,10383
29-06-2020,10607.34961
06-07-2020,10768.04981
13-07-2020,10901.7002
20-07-2020,11194.15039
27-07-2020,11073.4502
03-08-2020,11214.04981
10-08-2020,11178.40039
17-08-2020,11371.59961
24-08-2020,11647.59961
31-08-2020,11333.84961
07-09-2020,11464.4502
14-09-2020,11504.9502
21-09-2020,11050.25
28-09-2020,11416.9502
05-10-2020,11914.2002
12-10-2020,11762.4502
19-10-2020,11930.34961
26-10-2020,11642.40039
02-11-2020,12263.54981
09-11-2020,12719.9502
16-11-2020,12859.04981
23-11-2020,12968.9502
30-11-2020,13258.54981
07-12-2020,13513.84961
14-12-2020,13760.54981
21-12-2020,13749.25
28-12-2020,14018.5
04-01-2021,14347.25
11-01-2021,14433.7002
18-01-2021,14371.90039
25-01-2021,13634.59961
01-02-2021,14924.25
08-02-2021,15163.29981
15-02-2021,14981.75
22-02-2021,14529.15039
01-03-2021,14938.09961
08-03-2021,15030.9502
15-03-2021,14744
22-03-2021,14507.29981
29-03-2021,14867.34961
05-04-2021,14834.84961
12-04-2021,14617.84961
19-04-2021,14341.34961
26-04-2021,14631.09961
03-05-2021,14823.15039
10-05-2021,14677.79981
17-05-2021,15175.29981
24-05-2021,15435.65039
31-05-2021,15670.25
07-06-2021,15799.34961
14-06-2021,15683.34961
21-06-2021,15860.34961
28-06-2021,15722.2002
05-07-2021,15689.79981
12-07-2021,15923.40039
19-07-2021,15856.04981
26-07-2021,15763.04981
02-08-2021,16238.2002
09-08-2021,16529.09961
16-08-2021,16450.5
23-08-2021,16705.19922
30-08-2021,17323.59961
06-09-2021,17369.25
13-09-2021,17585.15039
20-09-2021,17853.19922
27-09-2021,17532.05078
04-10-2021,17895.19922
11-10-2021,18338.55078
18-10-2021,18114.90039
25-10-2021,17671.65039
01-11-2021,17916.80078
08-11-2021,18102.75
15-11-2021,17764.80078
22-11-2021,17026.44922
29-11-2021,17196.69922
06-12-2021,17511.30078
13-12-2021,16985.19922
20-12-2021,17003.75
27-12-2021,17354.05078
03-01-2022,17812.69922
10-01-2022,18255.75
17-01-2022,17617.15039
24-01-2022,17101.94922
31-01-2022,17516.30078
07-02-2022,17374.75
14-02-2022,17276.30078
21-02-2022,16658.40039
28-02-2022,16245.34961
07-03-2022,16630.44922
14-03-2022,17287.05078
21-03-2022,17153
28-03-2022,17498.25
